id,Duration in months,Credit history,Purpose of the credit,Credit amount,Status of savings account/bonds,Present employment(years),Installment rate in percentage of disposable income,personal_status,Other debtors / guarantors,Present residence since X years,Property,Age in years,Other installment plans (banks/stores),Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Status of existing checking account
1548,5,all paid,radio/tv,16660,500<=X<1000,4<=X<7,3,male single,guarantor,3,car,28,none,for free,4,skilled,2,none,no,good
1549,69,all paid,business,15729,no known savings,unemployed,3,female div/dep/mar,co applicant,3,real estate,26,stores,for free,4,skilled,2,none,no,good
1550,46,critical/other existing credit,repairs,6835,500<=X<1000,>=7,3,male div/sep,none,3,life insurance,63,stores,own,1,skilled,2,yes,yes,good
1551,29,delayed previously,new car,13388,no known savings,<1,3,male div/sep,guarantor,4,car,41,none,own,4,skilled,1,yes,no,good
1552,47,critical/other existing credit,retraining,12968,500<=X<1000,1<=X<4,3,male mar/wid,co applicant,4,no known property,39,none,rent,4,unemp/unskilled non res,2,none,no,good
1553,28,critical/other existing credit,furniture/equipment,6050,<100,>=7,2,female div/dep/mar,co applicant,4,car,58,none,for free,3,high qualif/self emp/mgmt,2,none,no,bad
1554,29,delayed previously,new car,7996,100<=X<500,1<=X<4,3,male single,guarantor,3,real estate,24,bank,for free,4,unemp/unskilled non res,1,none,yes,bad
1555,50,critical/other existing credit,domestic appliance,12103,<100,4<=X<7,1,female div/dep/mar,co applicant,2,real estate,56,bank,own,3,unemp/unskilled non res,2,yes,no,good
1556,20,existing paid,other,3571,>=1000,>=7,2,male single,co applicant,4,no known property,53,stores,own,3,skilled,2,yes,no,bad
1557,22,delayed previously,education,8048,<100,1<=X<4,4,male mar/wid,guarantor,4,life insurance,64,bank,own,1,unskilled resident,2,none,yes,bad
1558,23,delayed previously,repairs,14611,<100,>=7,4,male mar/wid,guarantor,4,real estate,74,none,own,2,unemp/unskilled non res,1,yes,yes,good
1559,46,all paid,retraining,15183,>=1000,1<=X<4,3,female div/dep/mar,co applicant,4,no known property,43,stores,rent,1,skilled,1,none,no,bad
1560,62,all paid,retraining,7843,<100,<1,2,male mar/wid,guarantor,3,real estate,40,none,own,4,unskilled resident,1,yes,no,bad
1561,36,all paid,new car,11125,<100,4<=X<7,1,male div/sep,guarantor,2,life insurance,47,none,for free,4,high qualif/self emp/mgmt,2,yes,yes,good
1562,22,existing paid,domestic appliance,3439,no known savings,1<=X<4,2,male mar/wid,none,2,life insurance,27,none,own,1,unskilled resident,1,yes,yes,bad
1563,50,critical/other existing credit,radio/tv,3508,500<=X<1000,<1,4,male div/sep,guarantor,1,car,30,bank,own,1,unemp/unskilled non res,2,yes,no,good
1564,38,existing paid,used car,6187,>=1000,4<=X<7,4,male mar/wid,guarantor,1,no known property,65,bank,own,3,unemp/unskilled non res,2,none,no,good
1565,6,no credits/all paid,education,3937,no known savings,1<=X<4,2,male div/sep,co applicant,1,life insurance,62,none,rent,1,unemp/unskilled non res,2,none,yes,bad
1566,71,existing paid,used car,8448,<100,>=7,1,female div/dep/mar,guarantor,3,no known property,73,none,rent,4,skilled,1,yes,yes,bad
1567,67,delayed previously,retraining,1367,<100,1<=X<4,2,male single,none,4,life insurance,60,bank,rent,3,unskilled resident,1,none,yes,bad
1568,39,all paid,domestic appliance,17324,>=1000,1<=X<4,3,female div/dep/mar,guarantor,2,no known property,67,stores,for free,1,unskilled resident,1,yes,yes,good
1569,9,no credits/all paid,domestic appliance,5592,<100,>=7,4,female div/dep/mar,guarantor,4,no known property,75,none,own,2,unemp/unskilled non res,1,yes,yes,bad
1570,44,all paid,domestic appliance,9172,100<=X<500,1<=X<4,2,male single,co applicant,4,real estate,20,none,rent,2,unskilled resident,1,none,yes,bad
1571,20,no credits/all paid,other,846,100<=X<500,1<=X<4,1,male mar/wid,co applicant,2,car,25,none,rent,1,unemp/unskilled non res,2,yes,yes,good
1572,11,critical/other existing credit,domestic appliance,10040,>=1000,4<=X<7,4,male mar/wid,guarantor,3,life insurance,56,bank,own,1,skilled,2,yes,yes,good
1573,48,critical/other existing credit,domestic appliance,14983,<100,unemployed,3,female div/dep/mar,guarantor,3,real estate,48,bank,rent,4,unskilled resident,2,none,no,bad
1574,44,delayed previously,radio/tv,14946,>=1000,1<=X<4,1,male div/sep,co applicant,1,no known property,64,stores,own,2,unemp/unskilled non res,2,none,no,bad
1575,54,no credits/all paid,retraining,14777,>=1000,<1,1,male div/sep,none,2,car,63,bank,for free,4,unemp/unskilled non res,1,none,no,good
1576,26,existing paid,domestic appliance,1324,>=1000,<1,2,male mar/wid,guarantor,4,car,25,bank,rent,2,skilled,1,none,no,bad
1577,34,no credits/all paid,education,6190,100<=X<500,<1,1,male div/sep,none,1,no known property,47,none,own,1,skilled,2,none,no,bad
1578,12,delayed previously,repairs,7981,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,21,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
1579,45,delayed previously,radio/tv,14341,500<=X<1000,unemployed,3,male div/sep,co applicant,1,no known property,33,stores,for free,1,skilled,1,none,no,good
1580,69,existing paid,other,15665,<100,>=7,4,male single,co applicant,3,real estate,24,none,own,3,unemp/unskilled non res,1,none,no,good
1581,33,delayed previously,retraining,16366,<100,>=7,2,female div/dep/mar,guarantor,1,real estate,29,none,own,4,high qualif/self emp/mgmt,2,none,yes,good
1582,22,existing paid,radio/tv,2159,500<=X<1000,>=7,2,male div/sep,none,2,real estate,51,none,rent,4,unemp/unskilled non res,2,yes,no,bad
1583,72,no credits/all paid,domestic appliance,6980,<100,unemployed,1,male single,co applicant,3,life insurance,27,none,for free,3,unemp/unskilled non res,1,yes,yes,good
1584,60,delayed previously,radio/tv,11004,>=1000,1<=X<4,2,male mar/wid,none,3,car,36,bank,rent,3,skilled,2,yes,no,bad
1585,72,all paid,furniture/equipment,330,500<=X<1000,unemployed,2,male single,none,1,no known property,62,stores,rent,3,unskilled resident,2,yes,no,good
1586,70,existing paid,furniture/equipment,7779,500<=X<1000,4<=X<7,3,male single,co applicant,2,car,73,bank,own,3,unemp/unskilled non res,2,yes,no,good
1587,34,delayed previously,repairs,16386,>=1000,>=7,3,male single,none,3,life insurance,72,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
1588,61,existing paid,retraining,562,no known savings,4<=X<7,1,male div/sep,none,1,car,28,none,for free,2,unemp/unskilled non res,2,yes,yes,bad
1589,66,delayed previously,education,5998,no known savings,>=7,3,male div/sep,guarantor,1,real estate,69,stores,own,1,unskilled resident,2,yes,yes,good
1590,17,delayed previously,repairs,12565,100<=X<500,1<=X<4,2,female div/dep/mar,co applicant,4,real estate,64,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
1591,16,critical/other existing credit,repairs,13713,100<=X<500,unemployed,2,female div/dep/mar,guarantor,2,life insurance,26,bank,own,4,unemp/unskilled non res,2,yes,no,bad
1592,5,no credits/all paid,domestic appliance,2933,no known savings,1<=X<4,4,male mar/wid,co applicant,3,real estate,73,none,rent,1,high qualif/self emp/mgmt,2,none,no,good
1593,32,all paid,education,7060,no known savings,4<=X<7,2,male mar/wid,co applicant,2,life insurance,75,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
1594,62,delayed previously,used car,15172,no known savings,>=7,4,male mar/wid,co applicant,1,car,37,none,own,2,high qualif/self emp/mgmt,2,yes,yes,bad
1595,53,no credits/all paid,new car,2014,>=1000,unemployed,1,male div/sep,co applicant,1,no known property,71,stores,for free,4,unskilled resident,1,none,no,good
1596,35,all paid,used car,458,500<=X<1000,unemployed,4,male mar/wid,none,2,life insurance,73,stores,for free,3,unemp/unskilled non res,1,yes,no,bad
1597,7,delayed previously,retraining,3525,>=1000,unemployed,2,female div/dep/mar,none,3,car,49,none,own,4,skilled,1,none,no,good
1598,52,no credits/all paid,retraining,8775,100<=X<500,4<=X<7,3,female div/dep/mar,guarantor,2,no known property,48,none,rent,1,skilled,2,none,yes,good
1599,15,all paid,furniture/equipment,5152,>=1000,1<=X<4,4,female div/dep/mar,guarantor,2,car,44,bank,own,1,unemp/unskilled non res,1,yes,no,good
1600,27,existing paid,radio/tv,1625,<100,unemployed,3,male div/sep,none,3,life insurance,58,stores,own,4,high qualif/self emp/mgmt,2,none,no,good
1601,61,no credits/all paid,repairs,8729,500<=X<1000,1<=X<4,2,male mar/wid,guarantor,3,real estate,67,none,own,3,unskilled resident,2,yes,no,good
1602,45,existing paid,education,17442,>=1000,<1,1,male div/sep,none,2,real estate,35,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
1603,48,delayed previously,domestic appliance,1102,no known savings,>=7,3,male mar/wid,co applicant,4,no known property,28,none,own,2,high qualif/self emp/mgmt,1,none,no,bad
1604,56,no credits/all paid,retraining,8280,<100,unemployed,2,male single,guarantor,4,real estate,25,none,for free,3,high qualif/self emp/mgmt,1,yes,no,good
1605,46,critical/other existing credit,repairs,4381,100<=X<500,>=7,1,male single,none,1,life insurance,29,none,rent,4,unemp/unskilled non res,1,none,yes,bad
1606,24,no credits/all paid,repairs,15362,no known savings,4<=X<7,1,male mar/wid,co applicant,2,no known property,63,none,own,4,unemp/unskilled non res,2,yes,no,good
1607,45,existing paid,repairs,916,100<=X<500,unemployed,1,male mar/wid,none,2,car,25,bank,own,3,unskilled resident,1,none,yes,bad
1608,26,existing paid,education,1617,500<=X<1000,1<=X<4,2,male mar/wid,none,2,no known property,61,stores,own,2,high qualif/self emp/mgmt,2,yes,yes,good
1609,50,no credits/all paid,repairs,5585,500<=X<1000,unemployed,2,male div/sep,co applicant,2,no known property,47,none,rent,1,unskilled resident,1,yes,no,good
1610,4,delayed previously,business,13051,no known savings,unemployed,2,male single,none,1,life insurance,34,stores,rent,1,unemp/unskilled non res,2,none,yes,bad
1611,39,all paid,new car,13819,<100,>=7,4,male single,co applicant,3,life insurance,25,stores,rent,4,skilled,2,yes,no,bad
1612,19,all paid,used car,6817,100<=X<500,1<=X<4,3,male single,co applicant,4,life insurance,33,bank,for free,4,high qualif/self emp/mgmt,2,none,yes,good
1613,60,all paid,business,9263,no known savings,<1,4,female div/dep/mar,none,2,no known property,30,stores,own,4,skilled,1,none,no,bad
1614,6,all paid,other,11943,500<=X<1000,unemployed,1,female div/dep/mar,guarantor,3,car,48,bank,for free,4,skilled,2,yes,no,bad
1615,7,no credits/all paid,domestic appliance,337,100<=X<500,unemployed,1,male mar/wid,co applicant,1,real estate,22,none,rent,1,unemp/unskilled non res,2,none,no,bad
1616,23,all paid,domestic appliance,2254,100<=X<500,unemployed,2,male mar/wid,co applicant,4,life insurance,57,none,own,1,unskilled resident,1,none,no,good
1617,16,critical/other existing credit,education,5261,100<=X<500,unemployed,2,male mar/wid,guarantor,2,no known property,56,none,for free,4,skilled,1,yes,yes,bad
1618,30,all paid,business,10027,500<=X<1000,unemployed,4,male div/sep,none,1,no known property,67,bank,rent,4,unskilled resident,1,yes,yes,good
1619,21,existing paid,new car,14190,>=1000,4<=X<7,3,female div/dep/mar,co applicant,2,real estate,50,bank,own,1,unemp/unskilled non res,2,yes,yes,good
1620,66,all paid,education,5772,100<=X<500,1<=X<4,1,female div/dep/mar,none,2,car,22,bank,for free,3,skilled,1,yes,no,good
1621,8,no credits/all paid,other,4493,>=1000,<1,3,male single,none,1,real estate,49,stores,rent,4,high qualif/self emp/mgmt,1,yes,no,bad
1622,67,existing paid,used car,5229,>=1000,1<=X<4,3,female div/dep/mar,co applicant,4,car,39,stores,own,1,skilled,2,none,yes,bad
1623,9,all paid,radio/tv,10618,500<=X<1000,4<=X<7,4,male div/sep,guarantor,4,no known property,42,bank,rent,1,skilled,1,yes,no,bad
1624,15,delayed previously,furniture/equipment,14394,no known savings,<1,3,female div/dep/mar,co applicant,4,car,34,stores,for free,2,high qualif/self emp/mgmt,1,none,yes,good
1625,21,critical/other existing credit,repairs,7414,>=1000,<1,4,female div/dep/mar,none,1,life insurance,72,bank,rent,2,unskilled resident,2,none,yes,bad
1626,5,existing paid,repairs,13731,<100,1<=X<4,1,male single,none,4,real estate,64,bank,for free,3,high qualif/self emp/mgmt,1,none,no,bad
1627,49,delayed previously,business,7215,<100,1<=X<4,4,female div/dep/mar,co applicant,2,life insurance,54,stores,for free,3,skilled,2,yes,yes,bad
1628,55,existing paid,used car,15000,>=1000,4<=X<7,3,male div/sep,none,3,car,59,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
1629,33,existing paid,other,14998,500<=X<1000,<1,2,male mar/wid,guarantor,4,car,51,none,rent,2,unemp/unskilled non res,2,yes,yes,good
1630,4,existing paid,retraining,1795,no known savings,unemployed,3,male div/sep,co applicant,3,car,24,none,for free,2,unemp/unskilled non res,2,yes,no,good
1631,9,delayed previously,education,7257,<100,>=7,3,male mar/wid,none,4,real estate,41,stores,rent,4,skilled,1,none,no,bad
1632,31,delayed previously,retraining,11361,100<=X<500,>=7,3,female div/dep/mar,guarantor,2,real estate,42,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
1633,69,no credits/all paid,business,1692,500<=X<1000,4<=X<7,2,male div/sep,none,3,no known property,26,stores,rent,1,skilled,1,yes,no,good
1634,70,existing paid,retraining,15450,>=1000,unemployed,1,male mar/wid,co applicant,3,life insurance,37,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
1635,25,no credits/all paid,repairs,15474,500<=X<1000,>=7,4,male div/sep,guarantor,3,no known property,53,stores,rent,4,unemp/unskilled non res,1,yes,no,bad
1636,42,all paid,education,15284,no known savings,4<=X<7,1,male single,co applicant,1,car,29,none,for free,1,unskilled resident,1,yes,no,good
1637,70,critical/other existing credit,new car,13624,<100,4<=X<7,4,male single,co applicant,3,car,64,none,own,1,unemp/unskilled non res,2,yes,yes,good
1638,23,all paid,used car,14030,<100,unemployed,3,male div/sep,guarantor,2,real estate,46,none,for free,2,unskilled resident,1,yes,no,bad
1639,38,all paid,business,4398,500<=X<1000,>=7,1,female div/dep/mar,co applicant,4,no known property,66,none,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
1640,32,no credits/all paid,new car,1144,>=1000,<1,3,male single,co applicant,1,life insurance,33,stores,own,4,skilled,1,yes,yes,good
1641,24,critical/other existing credit,education,643,<100,unemployed,1,female div/dep/mar,none,3,life insurance,22,none,own,1,unemp/unskilled non res,1,none,no,good
1642,18,critical/other existing credit,new car,13094,>=1000,unemployed,3,female div/dep/mar,guarantor,1,life insurance,36,stores,own,2,skilled,1,none,no,bad
1643,70,no credits/all paid,domestic appliance,10252,>=1000,1<=X<4,1,male single,none,4,car,59,stores,own,4,unemp/unskilled non res,2,none,yes,good
1644,15,all paid,furniture/equipment,2095,>=1000,unemployed,3,female div/dep/mar,co applicant,3,car,38,none,own,4,unskilled resident,1,none,yes,bad
1645,59,all paid,new car,9986,100<=X<500,unemployed,2,female div/dep/mar,guarantor,4,life insurance,55,stores,rent,3,skilled,1,none,no,bad
1646,5,no credits/all paid,domestic appliance,9135,500<=X<1000,1<=X<4,3,male mar/wid,none,1,life insurance,73,stores,for free,3,unskilled resident,2,none,yes,good
1647,49,all paid,new car,10902,100<=X<500,4<=X<7,1,male mar/wid,co applicant,4,life insurance,25,stores,rent,1,unemp/unskilled non res,2,none,yes,good
1648,57,critical/other existing credit,education,10785,>=1000,<1,1,female div/dep/mar,none,4,no known property,50,bank,rent,4,unemp/unskilled non res,2,yes,yes,good
1649,71,all paid,business,13124,<100,1<=X<4,1,male div/sep,co applicant,1,car,50,none,for free,4,unemp/unskilled non res,1,yes,yes,good
1650,17,delayed previously,retraining,17927,100<=X<500,unemployed,2,male div/sep,co applicant,2,car,49,bank,for free,3,unskilled resident,1,none,no,good
1651,38,delayed previously,repairs,1431,100<=X<500,1<=X<4,4,male single,none,2,no known property,21,stores,rent,4,skilled,2,none,yes,good
1652,36,critical/other existing credit,used car,1163,500<=X<1000,unemployed,3,male mar/wid,none,1,real estate,51,none,own,3,unemp/unskilled non res,1,yes,yes,good
1653,48,no credits/all paid,business,3282,100<=X<500,1<=X<4,1,male mar/wid,co applicant,3,real estate,47,none,for free,2,skilled,1,yes,no,bad
1654,20,all paid,used car,17003,<100,1<=X<4,4,male div/sep,none,2,real estate,20,none,rent,1,unskilled resident,1,yes,yes,good
1655,42,no credits/all paid,repairs,9404,100<=X<500,1<=X<4,2,male div/sep,guarantor,1,car,21,bank,own,1,unskilled resident,1,yes,yes,good
1656,16,existing paid,business,15785,>=1000,4<=X<7,3,male single,guarantor,4,car,28,bank,own,3,high qualif/self emp/mgmt,1,yes,no,bad
1657,49,all paid,furniture/equipment,9102,500<=X<1000,4<=X<7,4,male mar/wid,none,1,car,59,none,rent,1,skilled,1,none,no,bad
1658,11,no credits/all paid,other,6395,no known savings,1<=X<4,4,male mar/wid,co applicant,3,no known property,26,none,for free,3,skilled,2,none,no,good
1659,35,critical/other existing credit,education,16893,500<=X<1000,unemployed,1,male single,co applicant,4,life insurance,25,none,own,1,unskilled resident,1,none,no,good
1660,55,all paid,new car,11763,>=1000,1<=X<4,4,male div/sep,co applicant,4,car,28,stores,rent,2,unskilled resident,2,none,no,bad
1661,28,existing paid,used car,11852,<100,4<=X<7,1,male div/sep,guarantor,3,car,51,none,for free,1,skilled,2,none,yes,bad
1662,39,all paid,radio/tv,17823,500<=X<1000,1<=X<4,1,male single,none,3,real estate,24,none,rent,1,unemp/unskilled non res,1,yes,no,good
1663,29,critical/other existing credit,repairs,4478,no known savings,<1,2,male mar/wid,none,3,real estate,50,none,for free,4,skilled,2,none,no,bad
1664,7,delayed previously,education,16380,>=1000,unemployed,4,male div/sep,co applicant,4,car,42,stores,rent,1,high qualif/self emp/mgmt,2,none,no,bad
1665,65,all paid,business,2338,100<=X<500,4<=X<7,2,female div/dep/mar,none,2,real estate,70,bank,own,1,high qualif/self emp/mgmt,2,yes,no,bad
1666,56,no credits/all paid,domestic appliance,7045,<100,>=7,2,male div/sep,co applicant,4,car,59,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,good
1667,19,existing paid,business,14877,<100,1<=X<4,1,female div/dep/mar,guarantor,4,real estate,37,bank,rent,3,skilled,1,yes,yes,bad
1668,23,critical/other existing credit,retraining,2078,100<=X<500,<1,4,male div/sep,none,2,no known property,31,stores,for free,3,unskilled resident,2,none,yes,good
1669,5,all paid,business,8817,>=1000,<1,1,male mar/wid,co applicant,1,car,56,bank,rent,1,high qualif/self emp/mgmt,1,none,no,bad
1670,72,all paid,new car,17440,500<=X<1000,4<=X<7,2,male single,co applicant,4,no known property,57,bank,rent,2,unemp/unskilled non res,2,yes,no,bad
1671,58,delayed previously,domestic appliance,15231,500<=X<1000,1<=X<4,4,male div/sep,guarantor,3,no known property,61,stores,own,1,unskilled resident,2,none,yes,bad
1672,5,all paid,business,7163,<100,1<=X<4,2,male mar/wid,guarantor,2,real estate,40,none,rent,4,unskilled resident,2,none,no,good
1673,6,all paid,used car,17704,no known savings,<1,2,male single,co applicant,3,no known property,69,none,rent,1,high qualif/self emp/mgmt,2,none,no,good
1674,64,critical/other existing credit,repairs,16214,500<=X<1000,<1,3,male single,guarantor,2,no known property,35,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
1675,69,existing paid,new car,4366,<100,1<=X<4,1,male single,none,1,car,47,stores,own,3,skilled,1,yes,yes,bad
1676,69,delayed previously,furniture/equipment,1866,no known savings,<1,3,female div/dep/mar,co applicant,3,real estate,53,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
1677,56,all paid,business,3727,100<=X<500,4<=X<7,3,female div/dep/mar,co applicant,2,car,31,none,own,2,unskilled resident,1,yes,yes,good
1678,19,no credits/all paid,other,8989,no known savings,1<=X<4,1,female div/dep/mar,guarantor,3,no known property,67,none,rent,1,unemp/unskilled non res,2,none,no,good
1679,18,delayed previously,domestic appliance,8995,no known savings,unemployed,1,male div/sep,none,1,life insurance,62,bank,for free,1,unskilled resident,1,yes,yes,bad
1680,48,all paid,repairs,2217,>=1000,4<=X<7,4,male div/sep,co applicant,4,car,38,none,rent,2,unemp/unskilled non res,2,yes,no,bad
1681,5,critical/other existing credit,business,7928,>=1000,4<=X<7,2,male single,co applicant,3,real estate,23,stores,own,1,unemp/unskilled non res,1,none,yes,good
1682,47,existing paid,new car,15813,no known savings,<1,2,male mar/wid,guarantor,1,real estate,23,none,rent,1,skilled,1,none,no,good
1683,6,all paid,business,16547,no known savings,>=7,4,male single,guarantor,4,real estate,33,bank,own,2,skilled,1,yes,no,good
1684,56,critical/other existing credit,repairs,6367,100<=X<500,4<=X<7,1,male mar/wid,none,3,real estate,47,stores,rent,2,skilled,2,none,yes,bad
1685,69,all paid,education,11066,500<=X<1000,1<=X<4,3,female div/dep/mar,none,2,car,74,stores,own,2,unskilled resident,1,yes,no,bad
1686,27,delayed previously,domestic appliance,17247,500<=X<1000,4<=X<7,2,male div/sep,co applicant,1,no known property,74,bank,rent,1,high qualif/self emp/mgmt,2,none,yes,good
1687,8,no credits/all paid,domestic appliance,9642,500<=X<1000,unemployed,1,male single,guarantor,3,no known property,39,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
1688,15,critical/other existing credit,business,5542,100<=X<500,unemployed,4,male div/sep,guarantor,1,life insurance,49,bank,for free,2,unemp/unskilled non res,1,none,yes,good
1689,5,critical/other existing credit,radio/tv,2645,500<=X<1000,unemployed,4,male single,guarantor,1,car,43,none,rent,3,unemp/unskilled non res,2,none,no,good
1690,32,no credits/all paid,new car,17991,<100,<1,3,male single,guarantor,1,car,45,none,for free,2,unemp/unskilled non res,2,yes,no,good
1691,67,existing paid,repairs,3151,<100,4<=X<7,2,female div/dep/mar,guarantor,2,car,53,bank,for free,4,unemp/unskilled non res,1,none,yes,bad
1692,42,all paid,business,10332,500<=X<1000,unemployed,4,male mar/wid,guarantor,2,car,56,none,own,1,skilled,1,none,no,good
1693,5,critical/other existing credit,used car,7979,<100,>=7,4,female div/dep/mar,co applicant,3,no known property,34,bank,for free,4,high qualif/self emp/mgmt,1,none,no,good
1694,44,existing paid,used car,2232,>=1000,<1,2,female div/dep/mar,co applicant,2,car,54,bank,own,3,unskilled resident,2,yes,no,good
1695,63,critical/other existing credit,radio/tv,5489,500<=X<1000,>=7,3,male single,co applicant,4,car,59,stores,for free,2,unskilled resident,1,yes,yes,good
1696,67,existing paid,other,1820,<100,>=7,4,female div/dep/mar,co applicant,1,life insurance,72,none,rent,4,skilled,1,yes,no,good
1697,35,no credits/all paid,retraining,15368,no known savings,<1,1,male mar/wid,guarantor,3,car,31,stores,own,4,high qualif/self emp/mgmt,2,none,no,good
1698,70,all paid,retraining,8312,>=1000,<1,4,male div/sep,guarantor,1,life insurance,24,none,for free,1,unskilled resident,1,yes,yes,good
1699,15,critical/other existing credit,repairs,15150,500<=X<1000,unemployed,2,male mar/wid,co applicant,3,no known property,39,bank,rent,1,unskilled resident,2,none,yes,good
1700,18,existing paid,furniture/equipment,15744,no known savings,1<=X<4,2,female div/dep/mar,none,3,real estate,32,none,own,2,unskilled resident,1,none,yes,good
1701,47,all paid,business,1694,100<=X<500,<1,3,female div/dep/mar,none,2,no known property,64,none,for free,3,skilled,2,yes,no,good
1702,36,existing paid,business,6982,no known savings,4<=X<7,3,female div/dep/mar,co applicant,4,real estate,19,bank,own,1,skilled,1,yes,no,good
1703,35,all paid,business,5923,no known savings,1<=X<4,1,female div/dep/mar,guarantor,2,real estate,45,bank,own,3,high qualif/self emp/mgmt,1,none,no,bad
1704,32,all paid,other,17906,no known savings,<1,2,male div/sep,co applicant,3,no known property,42,bank,own,1,high qualif/self emp/mgmt,1,yes,no,good
1705,42,critical/other existing credit,retraining,6290,no known savings,1<=X<4,1,male mar/wid,co applicant,3,car,25,stores,for free,4,unemp/unskilled non res,2,none,no,bad
1706,52,delayed previously,domestic appliance,15039,100<=X<500,>=7,1,female div/dep/mar,co applicant,4,no known property,72,none,own,4,high qualif/self emp/mgmt,2,yes,yes,good
1707,10,delayed previously,repairs,2658,500<=X<1000,4<=X<7,1,male mar/wid,co applicant,1,life insurance,47,bank,rent,3,high qualif/self emp/mgmt,1,yes,no,bad
1708,32,no credits/all paid,other,390,>=1000,>=7,3,male div/sep,guarantor,2,real estate,53,none,own,1,unemp/unskilled non res,1,none,no,bad
1709,60,critical/other existing credit,radio/tv,939,500<=X<1000,>=7,2,male single,none,3,car,28,none,for free,3,unskilled resident,2,none,yes,bad
1710,5,all paid,business,5907,500<=X<1000,unemployed,2,male mar/wid,none,3,no known property,74,bank,own,4,unskilled resident,2,none,yes,good
1711,48,delayed previously,retraining,9847,>=1000,unemployed,1,male div/sep,none,2,no known property,47,bank,own,3,unemp/unskilled non res,1,none,yes,good
1712,13,all paid,retraining,12272,no known savings,unemployed,2,male single,none,4,car,37,stores,for free,1,skilled,2,yes,yes,good
1713,4,delayed previously,repairs,5956,500<=X<1000,4<=X<7,2,male single,none,3,real estate,22,none,for free,1,unemp/unskilled non res,2,yes,no,good
1714,10,no credits/all paid,retraining,12202,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,4,life insurance,29,none,for free,2,unskilled resident,1,none,no,bad
1715,28,critical/other existing credit,education,14380,no known savings,unemployed,3,female div/dep/mar,co applicant,1,no known property,49,bank,rent,3,unemp/unskilled non res,2,yes,no,bad
1716,63,existing paid,radio/tv,7825,100<=X<500,unemployed,3,male div/sep,co applicant,2,no known property,29,none,own,3,skilled,2,yes,no,good
1717,19,existing paid,education,5182,100<=X<500,<1,4,male single,co applicant,3,car,67,stores,for free,1,unskilled resident,2,none,yes,bad
1718,29,no credits/all paid,business,12401,<100,>=7,4,male div/sep,none,3,car,27,bank,for free,3,unemp/unskilled non res,1,yes,yes,bad
1719,10,delayed previously,repairs,10478,no known savings,<1,4,male mar/wid,guarantor,1,life insurance,59,stores,rent,1,skilled,2,none,yes,bad
1720,61,all paid,radio/tv,10361,no known savings,unemployed,4,male single,co applicant,2,car,57,bank,own,2,unskilled resident,2,none,no,good
1721,5,delayed previously,other,16244,>=1000,4<=X<7,1,female div/dep/mar,none,4,life insurance,19,stores,for free,2,unskilled resident,2,yes,no,good
1722,30,delayed previously,domestic appliance,7296,>=1000,<1,2,male div/sep,none,2,real estate,32,bank,own,4,unemp/unskilled non res,2,none,yes,bad
1723,26,delayed previously,furniture/equipment,14611,100<=X<500,unemployed,4,female div/dep/mar,guarantor,3,real estate,27,stores,for free,3,unemp/unskilled non res,2,none,yes,bad
1724,58,critical/other existing credit,retraining,16088,>=1000,1<=X<4,2,male single,guarantor,3,no known property,62,stores,rent,4,high qualif/self emp/mgmt,1,yes,no,bad
1725,44,all paid,radio/tv,535,no known savings,4<=X<7,3,female div/dep/mar,guarantor,3,real estate,37,stores,own,4,unemp/unskilled non res,2,none,yes,bad
1726,35,critical/other existing credit,furniture/equipment,18023,no known savings,<1,2,male div/sep,guarantor,2,life insurance,65,stores,rent,3,skilled,1,yes,no,bad
1727,70,existing paid,education,7475,500<=X<1000,1<=X<4,4,male single,none,3,life insurance,28,none,for free,3,skilled,1,none,no,bad
1728,7,existing paid,furniture/equipment,16082,500<=X<1000,<1,3,female div/dep/mar,none,2,life insurance,36,stores,rent,4,unemp/unskilled non res,2,yes,yes,good
1729,22,all paid,radio/tv,12948,>=1000,1<=X<4,4,male div/sep,co applicant,4,real estate,42,none,own,4,skilled,1,yes,yes,good
1730,22,critical/other existing credit,domestic appliance,8929,>=1000,>=7,3,male single,none,1,life insurance,51,none,rent,4,skilled,1,none,no,good
1731,66,critical/other existing credit,new car,10198,<100,1<=X<4,1,male single,guarantor,4,real estate,29,stores,for free,3,unskilled resident,1,none,no,bad
1732,64,existing paid,retraining,12717,no known savings,unemployed,3,male single,guarantor,4,real estate,20,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,bad
